mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
3282;CPERLA&940&I32s;La Segunda Esfinge Indiana: Antíguos y Nuevos Aspectos del Problema de los Orígenes Americanos.;Imbelloni, J.;1956;Librería Hachette S.A.;
3283;CPERLA&909&M864e;La Civilización Maya.;Morley, Sylvanus G.;1956;Fondo de Cultura Económica;
3284;CPERLA&909.04&C173i;Introducción a la Prehistoria General.;Comas, Juan;1962;Dirección General de Publicaciones;
3285;CPERLA&900&C341r;Religión de los Aztecas;Caso, Alfonso;1936;Imprenta Mundial;
3294;CPERLA&972&C341e;Pueblo del Sol;Caso, Alfonso;1953;Fondo de Cultura Económica;
3305;CPERLA&985.02&V174m;Muestrario de Arte Peruano Precolombino.;Valcárcel, Luis E.;1938;Instituto del Arte Peruano;
3306;CPERLA&930.1&S718v;Viajes al Pasado de México.;Sotomayor, Arturo.;1963;Instituto Nacional de Antropología e Historia.;
3307;CPERLA&573&C728e;El origen del hombre americano y la antropología física;Comas, Juan;1961;;1. ed.
3308;CPERLA&930.1&S463a;Arquitectura y Pintura en Teotihuacán.;Séjourné, Laurette.;1966;Siglo Veintiuno;
3309;CPERLA&930.1&S454e;Universo de Quezalcoatl;Séjourné, Laurette;1962;Fondo de Cultura Económica;
3311;CPERLA&930.1&N127c;Compendio de Historia del Arte Precolombino de México y Yucatán;Nadal Mora, V.;1940;El ateneo;
3330;CPERLA&930.1&A479l;Los Atlantes en Yucatán;Amábilis Domínguez, Manuel.;1963;Orión;
3331;CPERLA&930.1&P739u;Una metropoli prehistórica en la América del Sur;Posnansky, Arturo.;1914;Dietrich Reimer;
3332;CPERLA&930.1&C873e;El Aguila, El Jaguar y la Serpiente, Arte Indígena Americano;Comarrubias, Miguel;1961;Universidad Autónoma de México;
3333;CPERLA&909&R616c;Cites Maya.;Rivet, Paúl.;1954;Avenue de la Bourdonnais;
3334;CPERLA&930.1&P645e;El pueblo del jaguar: los olmecas arquequeológicos;Piña Chan, Roman.;1964;C.N.M.A.A.;
3335;CPERLA&930.1&C836a;Arte del Perú Precolombino.;Cossio del Pomar, Felipe.;1949;Fondo de Cultura Económica;
3336;CPERLA&930.1&M583e;Colima;Messmacher, Miguel;1966;Instituto Nacional de Antropología e Historia;
3338;CPERLA&930&V877e;El Mundo de los Mayas;Von Hagen, Victor W.;1968;Diana;
3339;CPERLA&930&M489c;Chi Cheenistsa.;Medis Bolio, Antonio;s.d;s.n;
3340;CPERLA&930.1&E59s;Sellos del Antíguo México;Enciso, Jorge;1947;;
3341;CPERLA&930.1&F111e;Estas piedra hablan.;F.S.C., Hildeberto.;1965;Hospicio;
3342;CPERLA&930.1&C569o;Odontología y Multilaciones Dentarias Mayas;Cifuentes Aguirre, Oscar;1963;Universitaria;
3343;CPERLA&700&V432p;Plástica Maya: Guía para una Apreciación.;Vela, David;1967;Tipografía Nacional;
3344;CPERLA&985&C316l;La Religión en el Artíguo Perú: Norte y Centro de la Costa, Período Post-Clásico.;Cachot de Girard, Rebeca Carrión.;1959;s.n;
3345;CPERLA&969.011&V131a;Artists and Craftsmen in Ancient Central America;Vaillant, George C.;1935;The American Museum of Natural History;
3346;CPERLA&972&P645c;Ciudades Mayas.;Piña Chan, Ramón.;1958;Nuevo Mundo;
3347;CPERLA&985.01&L961p;Pre-Historia de América.;Luna Cardenas, Juan.;1947;U.T. L.I. Aztekatl;
3354;CPERLA&909&S757m;Maya Art And Civilization.;Spinder, Herbert Joseph.;1957;The Falco`s Wing Press.;
3355;CPERLA&930.1&P153a;Arqueología de México Culturas Arcaica y Tolteca;Palacios, Enríque Juan.;1937;Imprenta Mundial;
3356;CPERLA&985.01&G285e;En el Imperio del Sol: En torno a los Origenes y Formación del Perú Moderno en el Centenario de la Batalla de Ayacucho.;Gay, Vicente.;1925;Blass, S. A.;
3357;CPERLA&978.901&W516a;Arte Antiguo de México;Westheim, Paul.;1950;Fondo de Cultura Económica;
3358;CPERLA&930.1&G851l;La Alfarería Correspondiente al Ultimo Período de Ocupación Nahua del Valle de México.;Griffin, James B.;1947;Fondo de Cultura Económica;
3359;CPERLA&930.1&W631e;El Enigma del Xoloitzcuintli.;Wright, Norman P.;1960;Instituto Nacional de Antropología e Historia.;
3360;CPERLA&972.810 1&C414c;Cultura Indígena de Guatemala: Ensayos de Antropología Social.;Cerezo Dardón, Hugo;1959;s.n;
3361;CPERLA&930.1&V712c;Códices Mayas;Villacorta C., J. Antonio;1930;Sociedad de Geografía e Historia;
3368;CPERLA&930.1&k58t;Traducciones Mesoamericanistas.;Kirchhoff, Paúl.;1966;Sociedad Mexicana de Antropología;
3371;CPERLA&972.08&V886d;Desarrollo cultural de los Mayas.;Vogt, Evon Z.;1964;Universidad Nacional Autónoma de México;
3374;CPERLA&930.1&S187a;Aproximación al Arte Maya.;Samayoa Chinchilla, Carlos.;1964;José de Pineda Ibarra;
3375;CPERLA&930.1&O48e;Estructura y Dinámica de Mesoamérica: Ensayo sobre sus Problemas Conceptuales Integrativos y Evolutivos.;Olive Negrete, Julio César;1958;Escuela Nacional de Antropología e Historia;
3376;CPERLA&930.1&A598;Animal in Pre-Columbian Art.;Andre, Emmerich.;1966;s.n;
3377;CPERLA&633.15&M481i;Iziz Centli El Maíz;Meade, Joaquín.;1948;Cooperativa Talleres Graficos de la Nación.;
3379;CPERLA&972.01&A973m;México Antes de los Aztecas.;Ayala Anguiano, Armando;1970;Novaro, S.A.;
3380;CPERLA&972.01&G517l;Los Mayas Eternos;Girard, Rafael.;1962;Libro Mex;
3382;CPERLA&972.840 1&A727c;La Cultura Pipil de Centroamérica.;Armas Molina, Miguel.;1976;Ministerio de Educación.;
3383;CPERLA&930.1&P645l;Las Culturas Preclásicas de la Cuenca de México.;Piña Chan, Roman.;1955;Fondo de Cultura Económica;
3384;CPERLA&930.1&C822m;Mitología Tarasca.;Corona Núñez, José;1957;Fondo de Cultura Económica;
3386;CPERLA&930&N841e;Estudios sobre la Piedra del Sol.;Noriega, Raúl.;1954;s.n;
3387;CPERLA&930.1&S678e;El México Antíguo: Revista Internacional de Arqueología, Etnología, Folklore, Historia, Historia antígua y Linguística mexicanas.;Sociedad Alemana Mexicanista;1965;Sociedad Alema Mexicanista;
3388;CPERLA&972.840 1&G428;Guija, Cuna de la Civilización Primitiva de América;;1927;s.n;
3389;CPERLA&930.1&W525l;La Escultura del México Antíguo;Westheim, Paúl.;1956;Universidad Autónoma de México;
3390;CPERLA&930.1&B517t;Tenochtitlan en una Isla.;Bernal, Ignacio;1959;Instituto Nacional de Antropología e Historia;
3391;CPERLA&930.1&D244l;Las Etapas de la Arqueología.;Daux, Georges;1962;Compañia General Fabril Editora;
3392;CPERLA&930.1&S246h;Historia de los Incas;Sarmiento de Gamboa, Pedro.;1947;Emecé Editores;
3393;CPERLA&972.81&V145l;Lenguas Indígenas de Guatemala;Valdés Oliva, Arturo.;1965;José de Pineda Ibarra;
3395;CPERLA&930.1&K72l;La Antigua Escritura de los Pueblos de América Central;Knorozov, Y. V.;1954;Fondo de Cultura Económica;
3396;CPERLA&631.5&A991c;Codice Peresiano;Azcue, Luis;1967;ORION;
3397;CPERLA&930.1&S463p;Palenque una ciudad Maya;Setourne, Laurette;1952;Fondo de Cultura Economica;
3398;CPERLA&929.004&C536l;Origenes de la Civilización;Childe, V. Gordon;1967;Fondo de cultura económica;4 ed.
3399;CPERLA&930.1&V945l;Los Aztecas, Hombre y Tribu;Von Hagen, Victor Wolfgang.;1967;Diana S. A.;
3400;CPERLA&930.1&G611t;Aztec People;Goetz, Delia;1944;The Pan American Union;
3401;CPERLA&930.01&I59a;Acto Pan;Instituto de Antropología e Historia;s.d;s.n;
3402;CPERLA&930.1&L463e;Lenguaje de las formas en Teotihuacan;Séjourné, Laurette;1966;Laurette Séjourné;
3403;CPERLA&930.1&A185g;Guía Oficial de Teotihuacán;Acosta R., Jorge;1965;Instituto Nacional de Antropología e Historia;
3404;CPERLA&972.84&B234h;Historia de El Salvador: Epoca Antigua y de la conquista;Barberena, Santiago I.;1966;Dirección General de Publicaciones del Ministerio de Educación;2 ed.
3405;CPERLA&930.1&P153q;Quetzalcoatl y la irradiación de su cultura en el antiguo territorio mexicano;Palacios, Enrique Juan;1921;Imprenta del museo nacional de arqueologia;
3407;CPERLA&930.1&K72e;Escritura de los antiguos mayas;Knorozov, Y. V.;1956;Instituto de intercambio cultural mexicano ruso;
3408;CPERLA&985.1&Z58a;Arte rupestre en colombia;Zerda A. Liborio;s.d;s.n;
3409;CPERLA&930.1&C764;Contributions to american archeology;Carnegie Institution of Washington;1937;Published by Carnegie Institution of Washington;
3410;CPERLA&972.83&B973e;Libro de Honduras Directorio y Guía general de la República una obra de consulta y propaganda;Bustillo Reina, Guillermo;1957;Tipografia Nacional;
3411;CPERLA&972.81&S391l;Vida y las creencias de los indígenas quichés de Guatemala;Schultze Jena, Leonhard;s.d;Biblioteca de Cultura Popular. Ministerio de Educación Pública;
3412;CPERLA&972.81&P778l;Cakchiqueles en la conquista de Guatemala;Polo Sifontes, Francis;1977;José de Pineda Ibarra;
3414;CPERLA&930.1&W529c;Cerámica del México Antiguo Fenómeno artístico;Westhim, Paúl;1962;Universidad Nacional autónoma de México. Dirección general de publicaciones;
3416;CPERLA&972.728 413&O66s;Sonsonate Historico e informatico;Orellana, Alejandro;1960;s.n;2 ed.
3416;CPERLA&972.728 413&O66s;Sonsonate Historico e informatico;Orellana, Alejandro;1960;s.n;2 ed.
3417;CPERLA&930.1&L864h;Historia general de las Indias;López de Gómora, Francisco;1954;Iberia;
3417;CPERLA&930.1&L864h;Historia general de las Indias;López de Gómora, Francisco;1954;Iberia;
3418;CPERLA&972.84&C387r;Recuerdos Salvadoreños;Ceballos, José Antonio;1961;Ministerio de Educación Departamento Editorial;2 ed.
3419;CPERLA&972&A472c;Crónica Mexicana;Alvarado Tezozomoc, Hernando;1943;Ediciones de la Universidad Nacional Autonoma México;
3420;CPERLA&972.81&A118s;Santiago de los caballeros de Goathemala;Abascal, Valentin;1961;"Centro Editorial del Ministerio de Educación Pública ""José de Pineda Ibarra""";
3422;CPERLA&909.004&R613t;Tierras de Lacandones;Rittlinger, Herbert;1963;Herrero;
3423;CPERLA&616.99&F475e;Enfermedades de los conquistadores;Figueroa Marroquin, Horacio;1957;Ministerio de cultura. Departamento Editorial;
3424;CPERLA&972.84&C268m;Monografias departamentales: Usulutan, San Miguel, Morazan y La Unión;Cardona Lazo, Antonio;1939;Publicaciones del ministerio de Hacienda;
3425;CPERLA&972.95&S799f;Fomento- El desarrollo económico de Puerto Rico;Stead, William H.;1963;Libreros Mexicanos Unidos;
3426;CPERLA&972.84&L321g;Guía histórica de El Salvador;Larde y Larin, Jorge;1952;Ministerio de Cultura;
3427;CPERLA&413&A776p;Pequeño diccionario etimológico de voces guatemaltecas;Arriola, Jorge Luis;s.d;Ministerio de Educación Pública;2 ed.
3428;CPERLA&970.015&G195h;Historia de Cristobal Colón: Análisis crítico de las fuentes documentales y de los problemas colombinos;Gandía, Enrique de;1951;Claridad;2 ed.
3429;CPERLA&972.81&C828d;Descripción geografico-moral de la diocesis de Goathemala;Cortés y Larraz, Pedro;1958;s.n;
3430;CPERLA&930.1&L952l;Plaza Mayor de Santiago de Guatemala hacia 1678;Lujan Muñoz, Luis;1969;Instituto de Antropologia e historia. Ministerio de Educación;
3431;CPERLA&930.1&Y22m;Mitos Indigenas;Yañez, Agustin;1964;Universidad Nacional Autonoma de México;3 ed.
3432;CPERLA&972.726 5&B766r;Relation Des Choses de Yucatan. Relación de las cosas de Yucatán;Braseur de Bourboug, L'abbé;1864;Lyon;
3433;CPERLA&972.803&R175h;Historia de la colonización española en América;Ramos Pérez, Demetrio;1947;PEGASO;
3434;CPERLA&615.53&H582g;Guide-Formulaire de Therapeutique generale et speciale;Herzen, V.;1909;Librairie J. B., Bailliere et Fils;5 ed.
3442;CPERLA&930.01&B489e;Estética e historia en las artes visuales;Berenson, Bernard;1966;Fondo de Cultura Economica;2 ed.
3443;CPERLA&972&R274e;Libro del consejo;Raynaud, Georges;1964;Universidad Nacional Autonoma de México;3 ed.
3444;CPERLA&930.2&M645t;Tratado de paleografía española;Millares Carlo, Agustín;1932;Villaiz;
3445;CPERLA&972.01&D259a;Arbol genealogico de los monarcas aztecas estanques y enlaces con los reyes de Culhuacan, Acolhuacan, Coatlinchan, Tiaitelolco, azcopotzalco y otros;Davila, J. Ignacio;1949;CVLTVRA;
3446;CPERLA&972&R961r;Religión y ciencia;Russell, Bertrand;1951;Fondo Cultura Económica;
3447;CPERLA&972.810 2&C947m;Muerte de Pedro de Alvarado. Cartas de relación de Alvarado a Hernán Cortes. Cartas antiguas a la ciudad de Goathemala;Padilla, Mota;1967;José de Pineda Ibarra;
3448;CPERLA&972.01&R456p;Pasión y Muerte del Cristo Sol;Reyes García, Luis;1960;s.n;
3449;CPERLA&930.5&C335h;Historia de las Indias;Casas, Fray Bartolomé de las;1951;Fondo de Cultura Economica;
3449;CPERLA&930.5&C335h;Historia de las Indias;Casas, Fray Bartolomé de las;1951;Fondo de Cultura Economica;
3449;CPERLA&930.5&C335h;Historia de las Indias;Casas, Fray Bartolomé de las;1951;Fondo de Cultura Economica;
3450;CPERLA&972.728 412 8&V172m;Metapán Monografía del Distrito;Valiente, Gilberto;1931;s.n;
3451;CPERLA&972.726 5&L253r;Relación de las cosas de Yucatán;Landa, Fray Diego de;1966;Porrua;9 ed.
3452;CPERLA&930.1&V335c;Crónica de la provincia del Santisimo nombre de Jesús de Guatemala de la orden de N. Serafico Padre San Francisco en el Reino de la Nueva España;Vasquez, Francisco;1944;s.n;2 ed.
3453;CPERLA&972.728&M361p;Panchimalco: Investigación Sociológica;Marroquín, Alejandro Dagoberto;1959;Universitaria;
3454;CPERLA&930.1&R987e;Estudios de Cultura Maya: Publicación anual del seminario de Cultura Maya;Ruz Lhuillier, Alberto;1965;Universidad Nacional Autonoma de México;
3454;CPERLA&930.1&R987e;Estudios de Cultura Maya: Publicación anual del seminario de Cultura Maya;Ruz Lhuillier, Alberto;1965;Universidad Nacional Autonoma de México;
3455;CPERLA&972&F223l;Leyendas Mexicanas;Farga Font, José;1963;s.n;
3456;CPERLA&970.015&V432e;Mito de Colón;Vela, David;s.d;s.n;
3457;CPERLA&930.5&A284f;Formas de gobierno indigena;Aguirre Beltrán, Gonzalo;1953;s.n;
3458;CPERLA&415&B823g;"Gramática de la Lengua Quiché: según manuscritos de los mejores autores guatemaltecos; acompañada de anotaciones filológicas y un vocabulario";Brasseur de Bourbourg, Charles Etienne;1961;"Editorial del Ministerio de Educación Publica ""Jose de Pineda Ibarra""";
3459;CPERLA&972.01&S131s;Suma Indiana;Sahagua, Fray Bernardino;1943;Ediciones de la Universidad Nacional Autonoma;
3461;CPERLA&972.840 3&B234h;Historia de El Salvador: Epoca Colonial;Barberena, Santiago I.;1917;s.n;
3463;CPERLA&930.1&C346t;Tikal: La ciudad arqueologica mas grande de la civilización Maya;Castañeda Paganini, Ricardo;1962;Editorial del Ministerio de Educación Pública;
3464;CPERLA&972.03&R763a;arte en México: durante el virreinato;Romero de Terreros, Manuel;1951;Porrua;
3465;CPERLA&930.1&B863l;Pintura prehistórica;Brodrick, A. Houghton;1965;Fondo de Cultura Económica;3 ed.
3467;CPERLA&972.023&S463p;Pensamiento y religión en el Mexico Antiguo;Sejourne, Laurette;1964;Fondo de Cultura Económica;2 ed.
3468;CPERLA&972.810 1&V712p;Popol-Vuh: Exégesis crestomatica del manucristo Quiché;Villacorta, J. Antonio;1962;"Centro Editorial ""Jose de Pineda Ibarra""";
3469;CPERLA&972.728 432&L321o;Origenes de San Miguel de la Frontera;Larde y Larin, Jorge;1974;Ediciones del Ministerio del Interior;
3470;CPERLA&972.728 432&F363s;Sintesis Historica de la Ciudad de San Miguel;Fernández, Gloria Marina;s.d;Ministerio de Educación;
3471;CPERLA&420&F449l;Lexico España-Pipil;Fidias Jimenez, Tomás;s.d;s.n;
3472;CPERLA&490&S971m;Mapas de clasificación linguistica de México y las américas;Swadesh, Mauricio;1959;Universidad Nacional Autonoma de México;
3473;CPERLA&909.04&I74;Isagoge Historica apologetica de las indias occidentales y especial de la provincia de San Vicente de Chiapa y Guatemala de la orden de predicadores;;1935;s.n;
3474;CPERLA&972.728 413 3&R896h;Historia del puerto de la Santisima Trinidad de Sonsonate o Acajutla;Rubio Sánchez, Manuel;1977;Universitaria;
3475;CPERLA&930.1&B674f;Figurillas con ruedas de Cihuatán y el oriente de El Salvador;Boggs, Stanley H.;1973;Ministerio de Educación Dirección de Cultura;
3476;CPERLA&972.84&C387r;Recuerdos Salvadoreños;Ceballos, José Antonio;1964;Dirección General de Publicaciones del Ministerio de Educación;2 ed.
3477;CPERLA&972.01&N321p;Prehistoria de México;Navarrete, Francisco Plancarte y;1923;s.n;
3478;CPERLA&901&L579f;Filosofia Nahuatl Estudiada en sus fuentes;León portilla, Miguel;1959;Universidad Nacional Autonoma de México;2 ed.
3479;CPERLA&972.84&E79;Estado General de la provincia de San Salvador reino de Guatemala;Palacios, Diego de;s.d;s.n;
3480;CPERLA&930&D542c;Conquista de Nueva España;Díaz del Castillo, Bernal;s.d;s.n;
3480;CPERLA&930&D542c;Conquista de Nueva España;Díaz del Castillo, Bernal;s.d;s.n;
3480;CPERLA&930&D542c;Conquista de Nueva España;Díaz del Castillo, Bernal;s.d;s.n;
3480;CPERLA&930&D542c;Conquista de Nueva España;Díaz del Castillo, Bernal;s.d;s.n;
3481;CPERLA&930&G862c;Cakchiquel-Tzutujil: estudio sobre su unidad linguistica;Grimes, James Larry;1968;Ministerio de Educación;
3482;CPERLA&972.81&R294c;Calendario Maya-Mexica: origen, función, desarrollo y lugar de procedencia;Girard, Rafael;1948;Stylo;
3483;CPERLA&972.81&J91m;Muy noble y muy leal Ciudad de Santiago de los Caballeros de Goathemala (La antigua) 1943-1773;Juarez y Aragón, J. Fernando;1971;s.n;
3484;CPERLA&972.81&V181a;Antigua Guatemala;Valle Matheu, Jorge del;1943;Unión Tipográfica;
3485;CPERLA&930.1&M385c;Codice Laud;Martinez Marín, Carlos;1961;Instituto Nacional de Antropologia e Historia;
3486;CPERLA&930.1&C317e;El traje en la Nueva España;Carrillo y Gariel, Abelardo;1959;Instituto Nacional de Antropología e Historia;
3494;CPERLA&930.1&G163c;Cartas y relaciones de Hernán Cortés al emperador Carlos V;Gayangos, Pascual de;1866;Central de los Ferro-Carriles;
3495;CPERLA&930.1&M491l;Libro de Chilam Balam de Chumayel;Mendez Bolio, Antonio;1952;Ediciones de la Universidad Nacional Autonoma;2 ed.
3496;CPERLA&909&B272e;Libro de los libros de Chilam Balam;Barrera Vásquez, Alfredo;1948;Fondo de Cultura Economica;
3497;CPERLA&930.1&G516e;Calendario Maya-Mexica: origen, función, desarrollo y lugar de procedencia;Girard, Rafael;1948;Stylo;
3498;CPERLA&972.81&R294c;Cronicas Indigenas de Guatemala;Recinos, Adrian;1957;Universitaria;
3499;CPERLA&907&P116c;Compendio del Idioma Maya;Pacheco Cruz, Santiago;1948;s.n;4 ed.
3500;CPERLA&930.09&M777p;Puertos  de intercambio en mesoamérica prehispánica;Montemayor, Felipe;1959;Instituto Nacional de Antropología e Historia;
3501;CPERLA&972.81&X2h;Historia de la provincia de San Vicente de Chiapa y de Guatemala de la Orden de Predicadores;Ximenez, Fray Francisco;1930;;
3501;CPERLA&972.81&X2h;Historia de la provincia de San Vicente de Chiapa y de Guatemala de la Orden de Predicadores;Ximenez, Fray Francisco;1930;;
3501;CPERLA&972.81&X2h;Historia de la provincia de San Vicente de Chiapa y de Guatemala de la Orden de Predicadores;Ximenez, Fray Francisco;1930;;
3502;CPERLA&930.1&C689;Colección antropología e historia: administración del patrimonio cultural;Ministerio de Educación ( El Salvador);1977;Ministerio de Educación;
3502;CPERLA&930.1&C689;Colección antropología e historia: administración del patrimonio cultural;Ministerio de Educación ( El Salvador);1977;Ministerio de Educación;
3502;CPERLA&930.1&C689;Colección antropología e historia: administración del patrimonio cultural;Ministerio de Educación ( El Salvador);1977;Ministerio de Educación;
3502;CPERLA&930.1&C689;Colección antropología e historia: administración del patrimonio cultural;Ministerio de Educación ( El Salvador);1977;Ministerio de Educación;
3502;CPERLA&930.1&C689;Colección antropología e historia: administración del patrimonio cultural;Ministerio de Educación ( El Salvador);1977;Ministerio de Educación;
3503;CPERLA&930.1&B517t;Teotihuacan;Bernal, Ignacio;1963;Instituto Nacional de Antropología e Historia;
3504;CPERLA&930.1&C341e;Explicaciones del Reverso del Codex Vindobonensis;Caso, Alfonso;s.d;s.n;
3505;CPERLA&930.1&N841e;Extensiones cronológico culturales y geográficos de las ceramicas de México. Datos geologicos sobre la antiguedad del hombre en la cuenca de Mejico. Comentario e intento de correlación con la cronolo;Noriega, Eduardo;s.d;s.n;
3506;CPERLA&930.07&W691a;Arte de la lengua Maya;Willard, T. A.;s.d;s.n;
3507;CPERLA&972.726 5&L864h;Historia de Yucatán;López Cogolludo, Diego;1955;Comisión de Historia;
3507;CPERLA&972.726 5&L864h;Historia de Yucatán;López Cogolludo, Diego;1955;Comisión de Historia;
3507;CPERLA&972.726 5&L864h;Historia de Yucatán;López Cogolludo, Diego;1955;Comisión de Historia;
3508;CPERLA&523.78&N841e;Eclipses y cronología Maya-Mexicana;Noriega, Raul;1957;s.n;
3509;CPERLA&930&V434c;Codice Chimalpopoca anales de cuauhtilian y leyenda de los soles;Velasquez, Primo Feliciano;1945;Universitaria;
3511;CPERLA&930.1&E49a;Anales del Museo Nacional David J. Guzmán;Ministerio de Educación (El Salvador);1977;Ministerio de Educación;
3516;CPERLA&909&I12l;Escritura Indigena Andina;Ibarra Grasso, Dick Edgar;1953;Biblioteca Paceña. Alcaldia Municipal;
3517;CPERLA&891.99&R173l;Lenguas Indoeuropeas en América;Ramirez, Felix C.;1951;Casa Ramirez;
3518;CPERLA&930&S131h;Historia general de las cosas de Nueva España;Sahagun, Bernardino de;1955;ALFA;
3518;CPERLA&930&S131h;Historia general de las cosas de Nueva España;Sahagun, Bernardino de;1955;ALFA;
3518;CPERLA&930&S131h;Historia general de las cosas de Nueva España;Sahagun, Bernardino de;1955;ALFA;
3519;CPERLA&972.81&F954r;Recordación Florida: discurso historial y demostración natural, material, militar y politica del Reino de Guatemala;Fuentes y Guzmán, Francisco A.;1933;s.n;
3520;CPERLA&972.02&B688;Boletin del Archivo General de la Nación;;1964;Secretaria de Gobernación;
3521;CPERLA&930&Ch545m;Memoria de solola anales de los Cakchiqueles. Titulo de los Señores de Totonicapan;Chonay, Dionisio José;1950;Fondo de Cultura Económica;
3522;CPERLA&909&V422l;La Florida del inca: historia del adelantado Hernando de Soto, gobernador y capitán general del Reino de la Florida, y de otros heroicos caballeros españoles e indios;Garcilaso de la Vega, Inca;1956;Fondo de Cultura Económica;1a. ed.
